group_id	items_in_group	lo_value	p	FDR	goodsgrna
hDel_6447__1750	5	6.2394e-02	3.4496e-02	0.324999	1
hDel_6104__250	22	6.2675e-02	4.2369e-02	0.345755	3
hDel_3711__2500	19	6.3036e-02	4.8967e-02	0.374966	3
hDel_636__12000	12	6.4328e-02	3.6153e-02	0.330369	2
hDel_3430__4000	11	6.4380e-02	3.6105e-02	0.330369	1
hDel_6849__1750	24	6.4556e-02	4.4985e-02	0.354175	2
hDel_5883__250	32	6.5293e-02	4.4053e-02	0.348410	2
hDel_578__750	5	6.5309e-02	3.4496e-02	0.324999	1
hDel_422__250	5	6.5524e-02	3.4496e-02	0.324999	1
hDel_4736__4500	9	6.5890e-02	4.3293e-02	0.346552	1
hDel_845__7000	10	6.6210e-02	3.7829e-02	0.334023	2
hDel_4578__4750	9	6.6444e-02	4.3293e-02	0.346552	2
hDel_2289__2500	5	6.6602e-02	3.6544e-02	0.330369	1
