sgRNA	Gene	t0_C3624K	rep1_C3624K	rep2_C3624K
hDel_2024:104	hDel_2024	3823	3585	4524
hDel_6137:26	hDel_6137	2612	2456	2666
hDel_6563:135	hDel_6563	5105	5641	5485
hDel_1306:41	hDel_1306	3535	2965	3919
hDel_118:160	hDel_118	3649	2531	3632
hDel_2354:152	hDel_2354	2786	3169	2885
hDel_6146:3	hDel_6146	5572	4000	6321
hDel_494:114	hDel_494	5738	5413	5210
hDel_1249:81	hDel_1249	3321	3805	3850
hDel_6143:71	hDel_6143	4118	3180	4008
hDel_5964:18	hDel_5964	1907	2627	2543
hDel_5826:53	hDel_5826	3249	4572	5076
hDel_5623:58	hDel_5623	4716	3589	5041
hDel_5688:80	hDel_5688	3325	3075	4398
hDel_4443:71	hDel_4443	3746	3519	4236
hDel_4839:28	hDel_4839	4253	4312	4372
hDel_2239:32	hDel_2239	1677	1142	1834
hDel_6053:127	hDel_6053	2659	1308	2044
hDel_5940:35	hDel_5940	3059	3825	4194
hDel_4578:166	hDel_4578	3867	3126	3297
hDel_1246:73	hDel_1246	2333	2514	2952
hDel_1880:88	hDel_1880	3911	3067	3760
hDel_2865:22	hDel_2865	2471	3207	2990
hDel_5212:9	hDel_5212	5482	4431	4798
hDel_5826:31	hDel_5826	4943	5265	4462
hDel_4157:162	hDel_4157	2350	1880	2226
hDel_6631:138	hDel_6631	3474	3919	3696
hDel_5508:146	hDel_5508	6418	6624	6329
hDel_448:94	hDel_448	6510	5301	6571
hDel_1608:273	hDel_1608	5455	5187	3893
hDel_473:63	hDel_473	3049	3303	3616
hDel_6441:72	hDel_6441	5301	5665	6108
hDel_4205:18	hDel_4205	4011	2540	3828
hDel_5660:74	hDel_5660	2380	1898	2331
hDel_2136:15	hDel_2136	5101	3930	5537
hDel_2610:176	hDel_2610	4934	4217	3742
hDel_1546:57	hDel_1546	4203	2562	3317
hDel_1003:27	hDel_1003	3411	3784	3147
GTF2H2:2	GTF2H2	5142	218	309
hDel_6503:29	hDel_6503	5338	3922	5403
hDel_4987:44	hDel_4987	1807	2071	1727
hDel_5523:2	hDel_5523	2221	1894	2840
hDel_5681:25	hDel_5681	4512	3545	5906
hDel_2685:65	hDel_2685	2158	2025	2185
hDel_3989:47	hDel_3989	2938	3075	4022
PDSS1:2	PDSS1	3060	1036	1378
panTro6_CTRL177	panTro6_CTRL	2213	2648	2631
hDel_6552:51	hDel_6552	801	993	702
hDel_330:103	hDel_330	3386	3017	3261
hDel_6663:156	hDel_6663	2986	2533	3819
hDel_6632:153	hDel_6632	3779	3584	3852
hDel_6143:50	hDel_6143	5350	4361	4613
hDel_1106:80	hDel_1106	1779	1792	1704
hDel_3711:93	hDel_3711	5073	4175	5127
hDel_3426:90	hDel_3426	4231	3978	3713
hDel_6234:67	hDel_6234	3588	3508	3663
hDel_7235:495	hDel_7235	5327	5428	5616
hDel_3099:59	hDel_3099	3256	2529	4184
hDel_3426:66	hDel_3426	5397	5535	5040
hDel_4530:3	hDel_4530	4039	3767	3616
hDel_4736:102	hDel_4736	2051	1796	1602
hDel_3711:271	hDel_3711	2514	1704	1936
hDel_6633:425	hDel_6633	6210	5747	6784
hDel_6441:47	hDel_6441	4366	4082	4859
hDel_4397:421	hDel_4397	5206	5303	5679
hDel_6651:44	hDel_6651	4538	4767	4440
panTro6_CTRL2047	panTro6_CTRL	3153	4072	4966
hDel_50:43	hDel_50	3474	2547	3825
panTro6_CTRL794	panTro6_CTRL	2297	1469	1593
hDel_5962:112	hDel_5962	3540	113	339
hDel_6002:37	hDel_6002	4635	3499	4380
hDel_6633:109	hDel_6633	2613	1753	1620
hDel_779:21	hDel_779	2055	1512	2922
hDel_2055:177	hDel_2055	4497	4222	4142
hDel_6574:121	hDel_6574	3845	4424	4877
hDel_4751:14	hDel_4751	2554	2198	2745
panTro6_CTRL2391	panTro6_CTRL	6183	6621	7628
hDel_2234:18	hDel_2234	4809	4760	4404
hDel_3879:30	hDel_3879	3110	3066	3769
hDel_361:164	hDel_361	4644	4127	5249
hDel_978:109	hDel_978	3439	3624	3200
hDel_1003:302	hDel_1003	6000	5773	7229
hDel_7037:24	hDel_7037	6814	6652	8124
hDel_4277:78	hDel_4277	3723	3828	3619
hDel_523:41	hDel_523	3314	4048	4519
hDel_2239:16	hDel_2239	2668	2985	2923
hDel_7235:433	hDel_7235	2708	1948	2502
hDel_5909:111	hDel_5909	2208	2415	2466
hDel_2020:215	hDel_2020	2000	2754	3097
EMC1:2	EMC1	4127	1173	1678
hDel_4454:18	hDel_4454	4171	4103	4672
hDel_2311:91	hDel_2311	3556	2310	2657
hDel_3688:29	hDel_3688	5276	4538	4438
hDel_4397:415	hDel_4397	6047	1525	1373
hDel_3303:213	hDel_3303	3952	3350	3889
hDel_1647:19	hDel_1647	6233	5975	5483
hDel_5311:2	hDel_5311	3212	3573	3628
hDel_4397:241	hDel_4397	4114	3314	4886
hDel_523:108	hDel_523	5021	6054	5959
hDel_3021:149	hDel_3021	5736	7391	6144
hDel_5660:83	hDel_5660	2088	2068	2155
hDel_6318:93	hDel_6318	4528	4891	5346
hDel_5519:72	hDel_5519	5852	4966	6176
hDel_5476:48	hDel_5476	5468	4674	5571
hDel_5826:44	hDel_5826	2388	2368	2907
hDel_3897:49	hDel_3897	4819	4930	5274
hDel_3601:52	hDel_3601	2963	2295	3034
hDel_2260:57	hDel_2260	2776	2818	2289
hDel_5689:402	hDel_5689	5273	4355	6082
hDel_5883:200	hDel_5883	3982	2590	2653
hDel_94:147	hDel_94	3911	1493	2937
hDel_5355:110	hDel_5355	2489	3698	3550
hDel_3432:51	hDel_3432	3865	3782	4339
hDel_5689:357	hDel_5689	6581	4450	4501
hDel_6813:123	hDel_6813	4620	4285	5574
panTro6_CTRL1666	panTro6_CTRL	3561	2961	3322
hDel_296:19	hDel_296	2310	1851	2116
